NUMERODOSSIER;type_creance;numero_de_creance;Date_echeance;total_creance;Nature_crence;iddebiteur;type_creance
12889724;134342928;F-0324-1247706;01/03/2024;49;Mobile;5019;5
13503810;144304714;F-0324-1272638;01/03/2024;248,98;Fixe;7338;3
13558374;145269603;F-0324-1322148;04/03/2024;49;Mobile;7966;4
13639028;146791975;F-0224-1054478;01/02/2024;240,97;Mobile;8987;1
13639028;146791975;F-0324-1257940;01/03/2024;249;Mobile;8987;2
13697312;147986132;F-0224-1161954;04/02/2024;49;Mobile;10752;2
13697312;147986132;F-0324-1311360;04/03/2024;49;Mobile;10752;5
10759447;106748516;F-0324-0931473;03/03/2024;99;Mobile;2371;3
10759447;130084346;F-0324-1227350;03/03/2024;49;Mobile;2371;4
11227463;144046694;F-0324-1244678;01/03/2024;49;Mobile;2779;1
10675206;99295252;F-0324-1247374;01/03/2024;49;Mobile;2303;2
10675206;97388306;F-0921-0390429;01/09/2021;99;Mobile;2303;2
10675206;97388306;F-1021-0353970;01/10/2021;99;Mobile;2303;5
12758640;132214094;F-1023-1400853;04/10/2023;831,65;Fixe;4722;3
12758640;131905333;F-0324-1343095;04/03/2024;49;Mobile;4722;4
13430572;143195631;F-0324-0462972;01/03/2024;148,99;Fixe;6738;1
13355491;142146618;F-0324-0505142;02/03/2024;148,99;Fixe;6306;2
13525447;144599178;F-0324-0562627;02/03/2024;148,99;Fixe;7588;2
13495033;144148285;F-0324-0452364;01/03/2024;148,99;Fixe;7223;5
13596461;145888616;F-0324-0503331;02/03/2024;49;Mobile;8393;3
13638865;146791626;F-0224-1053152;01/02/2024;49;Mobile;8981;4
13638865;146791626;F-0324-1019092;01/03/2024;49;Mobile;8981;1
12794228;132664733;F-0324-0584069;02/03/2024;249;Fixe;4811;2
13167631;138955728;F-0324-0542443;02/03/2024;249;Fixe;5690;2
13587397;145699643;F-0324-0496974;02/03/2024;99;Mobile;8301;5
13164334;138879508;F-0324-0605729;02/03/2024;148,99;Fixe;5677;3
13648867;146929591;F-0324-1028943;01/03/2024;49;Mobile;9253;4
12626370;144909344;F-0324-1059087;04/03/2024;148,99;Fixe;4511;1
11491573;147137239;F-0324-1024777;01/03/2024;99;Mobile;3018;2
12901471;148246131;F-0324-1009930;01/03/2024;99;Mobile;5047;2
12901471;148246131;F-0224-1388727;01/02/2024;229;Mobile;5047;5
13637911;146789897;F-0324-1032355;01/03/2024;49;Mobile;8949;3
13475757;147256487;F-0324-1050528;04/03/2024;99;Mobile;7044;4
13643444;146879203;F-0224-1044672;01/02/2024;199;Mobile;9098;1
13643444;146879203;F-0324-1032462;01/03/2024;199;Mobile;9098;2
9486176;147765200;F-0324-1067141;04/03/2024;99;Mobile;1298;2
12374549;147601954;F-0324-1065325;04/03/2024;99;Mobile;4149;5
13428656;148244827;F-0324-1013514;01/03/2024;99;Mobile;6723;3
13638477;146790924;F-0224-1075664;01/02/2024;49;Mobile;8967;4
13638477;146790924;F-0324-1020950;01/03/2024;49;Mobile;8967;1
13648076;146928220;F-0324-1020446;01/03/2024;49;Mobile;9229;2
12970118;144844484;F-0324-1545790;02/03/2024;247,99;Fixe;5205;2
12706696;130904389;F-0324-1519303;01/03/2024;214,65;Fixe;4631;5
12917566;134510374;F-0224-1491042;02/02/2024;186,75;Fixe;5085;3
12917566;134510374;F-0324-1544652;02/03/2024;186,75;Fixe;5085;4
12917566;134510374;F-1223-1400551;02/12/2023;186,75;Fixe;5085;1
12917566;134510374;F-0124-1329176;02/01/2024;186,75;Fixe;5085;2
12353484;138168247;F-0224-0924873;04/02/2024;148,99;Fixe;4117;2
12353484;138168247;F-0324-1552811;04/03/2024;555,51;Fixe;4117;5
13061073;136691510;F-0324-1547504;04/03/2024;939,41;Fixe;5408;3
11774926;134731222;F-0324-1525794;04/03/2024;340,62;Fixe;3334;4
13616562;146121424;F-0124-1315083;03/01/2024;147,06;Fixe;8614;1
13616562;146121424;F-0224-1000187;03/02/2024;148,99;Fixe;8614;2
13616562;146121424;F-0324-1555699;03/03/2024;300;Fixe;8614;2
13616562;146876648;F-0324-0942828;03/03/2024;148,99;Fixe;8614;5
12587135;128763654;F-0324-1514294;02/03/2024;42,93;Fixe;4456;3
12587135;128763654;F-0224-0719340;02/02/2024;249;Fixe;4456;4
12886610;134337509;F-0324-1519417;01/03/2024;49;Mobile;5014;1
9784140;146881227;F-0224-1203845;04/02/2024;49;Mobile;1534;2
9784140;146881227;F-0324-1403887;04/03/2024;49;Mobile;1534;2
13122194;141220194;F-0324-1355148;04/03/2024;99;Mobile;5569;5
11137768;126411434;F-0224-0872078;04/02/2024;199;Mobile;2691;3
11137768;126411434;F-0324-1434836;04/03/2024;199;Mobile;2691;4
13398264;142724914;F-0224-1176305;04/02/2024;49;Mobile;6513;1
13398264;142724914;F-0324-1358239;04/03/2024;49;Mobile;6513;2
13433668;143201384;F-0224-1412564;02/02/2024;199;Mobile;6752;2
13433668;143201384;F-0324-1496202;02/03/2024;199;Mobile;6752;5
12391804;149120304;F-0324-1395604;04/03/2024;103,99;Mobile;4177;3
11705262;111946192;F-0324-1496545;02/03/2024;109,79;Mobile;3254;4
6441596;143528914;F-0224-0870819;04/02/2024;148,99;Fixe;738;1
6441596;143528914;F-0324-1552324;04/03/2024;577,45;Fixe;738;2
13122194;138241165;F-0823-0677662;04/08/2023;99;Mobile;5569;2
13122194;138241165;F-0923-0706559;04/09/2023;99;Mobile;5569;5
13483143;143977647;F-0324-1354781;04/03/2024;49;Mobile;7091;3
12717392;131103965;F-0324-1493525;01/03/2024;68,69;Mobile;4652;4
12717392;131103965;F-0224-0415995;01/02/2024;249;Mobile;4652;1
12391804;123504729;F-0223-0328152;01/02/2023;99;Mobile;4177;2
12391804;123504729;F-0323-0275022;01/03/2023;99;Mobile;4177;2
13690140;147764232;F-0224-1183297;04/02/2024;49;Mobile;10555;5
13690140;147764232;F-0324-1354271;04/03/2024;49;Mobile;10555;3
13632148;146753141;F-0224-1159331;04/02/2024;199;Mobile;8790;4
13632148;146753141;F-0324-1384012;04/03/2024;199;Mobile;8790;1
13118153;138172326;F-0324-1363091;04/03/2024;49;Mobile;5562;2
13696489;147936885;F-0224-1180247;04/02/2024;99;Mobile;10729;2
13696489;147936885;F-0324-1386608;04/03/2024;99;Mobile;10729;5
13602234;145899869;F-0324-0072834;03/03/2024;49;Mobile;8449;3
13605147;145919792;F-0324-0045137;03/03/2024;49;Mobile;8490;4
13609967;145928636;F-0324-0140276;03/03/2024;249;Mobile;8541;1
6631355;134129432;F-0324-1466016;04/03/2024;6,86;Fixe;767;2
6631355;134129432;F-0224-0861071;04/02/2024;199;Fixe;767;2
4849724;123477488;F-0324-1414011;04/03/2024;49;Mobile;345;5
13256798;140537789;F-0324-1353280;04/03/2024;49;Mobile;5925;3
10811207;129987198;F-0324-0032365;03/03/2024;199;Mobile;2412;4
11284127;105775342;F-0324-0187904;03/03/2024;240;Mobile;2822;1
10752959;98370908;F-0224-0074981;03/02/2024;240;Mobile;2369;2
10752959;98370908;F-0324-0117914;03/03/2024;240;Mobile;2369;2
12313687;122104326;F-0324-0146684;03/03/2024;49;Mobile;4053;5
12683431;130450555;F-0224-0137317;03/02/2024;49;Mobile;4600;3
12683431;130450555;F-0324-0211442;03/03/2024;49;Mobile;4600;4
10702874;97740396;F-0324-0105887;03/03/2024;240;Fixe;2332;1
13313236;141441943;F-0324-0182659;03/03/2024;148,99;Fixe;6108;2
13104906;137894449;F-0324-0214063;03/03/2024;249;Fixe;5526;2
13448567;143495928;F-0324-0659927;02/03/2024;199;Mobile;6864;5
13448567;148822704;F-0324-0971031;02/03/2024;149;Mobile;6864;3
12116709;119067123;F-0324-0702451;02/03/2024;240;Mobile;3782;4
13609548;145927832;F-0324-0073963;03/03/2024;99;Mobile;8536;1
12077977;129792696;F-0324-0213179;03/03/2024;99;Mobile;3730;2
12077977;118495873;F-1022-1096498;03/10/2022;40;Mobile;3730;2
13102535;137810036;F-0324-0130387;03/03/2024;249;Fixe;5519;5
11678399;111446818;F-0324-0752457;04/03/2024;49;Mobile;3225;3
7093543;129385563;F-0324-0800033;04/03/2024;49;Mobile;887;4
12241163;120970652;F-0324-0673016;02/03/2024;249;Fixe;3943;1
11412620;118130710;F-0324-0781625;04/03/2024;249;Fixe;2940;2
13514514;144394499;F-0324-0632383;02/03/2024;148,99;Fixe;7459;2
11289596;105939855;F-0324-0730180;04/03/2024;240;Fixe;2827;5
13642754;146877870;F-0224-1087978;01/02/2024;49;Mobile;9088;3
13642754;146877870;F-0324-1039957;01/03/2024;49;Mobile;9088;4
12915968;134506880;F-0324-0658412;02/03/2024;249;Fixe;5078;1
11557215;116458987;F-0324-0710842;02/03/2024;249;Fixe;3079;2
13353823;147256077;F-0324-1541047;01/03/2024;79,2;Mobile;6291;2
13353823;149189025;F-0324-1539617;01/03/2024;39,2;Mobile;6291;5
13533762;144691799;F-0224-0083976;03/02/2024;248,98;Fixe;7677;3
13533762;144691799;F-0324-1534839;03/03/2024;714,63;Fixe;7677;4
13645123;146882720;F-0324-1539941;01/03/2024;247,99;Fixe;9145;1
13498280;144154279;F-0224-0481192;01/02/2024;99;Mobile;7278;2
13498280;144154279;F-0324-0380844;01/03/2024;99;Mobile;7278;2
13565054;145369574;F-0224-1076908;01/02/2024;49;Mobile;8056;5
13565054;145369574;F-0324-0410159;01/03/2024;49;Mobile;8056;3
12972433;143969475;F-0324-1544656;02/03/2024;240,41;Fixe;5211;4
13276955;149450558;F-0324-1524815;01/03/2024;99;Mobile;5982;1
13446200;143431548;F-0324-1544381;02/03/2024;111,75;Mobile;6843;2
13446200;143431548;F-0224-1519884;02/02/2024;111,75;Mobile;6843;2
12268825;121440563;F-0324-1531072;04/03/2024;8,59;Fixe;3983;5
12268825;121440563;F-0224-0729883;04/02/2024;249;Fixe;3983;3
13577127;145518523;F-0324-0412875;01/03/2024;199;Mobile;8199;4
13146647;138648442;F-0324-0259496;01/03/2024;148,99;Fixe;5632;1
12699929;130844787;F-0324-0331110;01/03/2024;249;Mobile;4621;2
13566060;145431459;F-0224-1082802;01/02/2024;249;Mobile;8075;2
13566060;145431459;F-0324-0288184;01/03/2024;249;Mobile;8075;5
13429788;143194277;F-0324-0385594;01/03/2024;249;Fixe;6731;3
13686948;147610683;F-0324-0906954;03/03/2024;148,99;Fixe;10438;4
12633132;129787392;F-0224-0286455;01/02/2024;49;Mobile;4517;1
12633132;129787392;F-0324-0260609;01/03/2024;49;Mobile;4517;2
13213992;139892086;F-0224-0269784;01/02/2024;49;Mobile;5806;2
13213992;139892086;F-0324-0352869;01/03/2024;49;Mobile;5806;5
13352716;142074487;F-0224-0422627;01/02/2024;49;Mobile;6285;3
13352716;142074487;F-0324-0279095;01/03/2024;49;Mobile;6285;4
12544198;134510380;F-0324-0818677;04/03/2024;249;Fixe;4389;1
12390908;123503090;F-0324-0400713;01/03/2024;240;Mobile;4174;2
10642655;138413910;F-0324-0943982;03/03/2024;99;Mobile;2270;2
13684723;147606753;F-0324-0939231;03/03/2024;48;Mobile;10368;5
13685378;147607926;F-0324-0916903;03/03/2024;49;Mobile;10392;3
11096488;147692527;F-0324-0941000;03/03/2024;99;Mobile;2641;4
13667573;147145857;F-0324-0962563;02/03/2024;199;Mobile;9829;1
10642655;96769544;F-0720-0338941;03/07/2020;199;Mobile;2270;2
10642655;96769544;F-0820-0249642;03/08/2020;199;Mobile;2270;2
11735421;128323427;F-0324-0819002;04/03/2024;249;Fixe;3290;5
5434416;144079362;F-0324-0842954;04/03/2024;249;Mobile;482;3
13684183;147605450;F-0224-0998413;03/02/2024;99;Mobile;10346;4
13684183;147605450;F-0324-0936940;03/03/2024;99;Mobile;10346;1
13162383;138876149;F-0324-0503430;02/03/2024;148,98;Fixe;5668;2
11329781;106338394;F-0324-0964773;02/03/2024;49;Mobile;2864;2
12944487;139688978;F-0324-0435645;01/03/2024;149;Mobile;5148;5
12944487;139688978;F-0224-0277482;01/02/2024;149;Mobile;5148;3
13570477;145439589;F-0324-0472542;01/03/2024;49;Mobile;8133;4
11704287;119055194;F-0324-0582153;02/03/2024;249;Fixe;3253;1
13508991;144313965;F-0324-0566945;02/03/2024;49;Mobile;7397;2
13522331;144512972;F-0224-0551561;02/02/2024;49;Mobile;7555;2
13522331;144512972;F-0324-0567011;02/03/2024;49;Mobile;7555;5
12706797;130904544;F-0324-0438126;01/03/2024;249;Fixe;4632;3
13280425;140819073;F-0324-0470719;01/03/2024;49;Mobile;5989;4
11759405;113215995;F-0324-0532227;02/03/2024;99;Mobile;3321;1
13343209;141944464;F-0324-0440472;01/03/2024;49;Mobile;6228;2
13588003;145700688;F-0324-0505499;02/03/2024;49;Mobile;8307;2
12156681;119663309;F-0324-0483081;01/03/2024;249;Fixe;3850;5
13505281;144307161;F-0324-0452684;01/03/2024;49;Mobile;7362;3
13505281;144307161;F-0224-0274820;01/02/2024;49;Mobile;7362;4
13563634;145367058;F-0224-1049993;01/02/2024;49;Mobile;8033;1
13563634;145367058;F-0324-0448349;01/03/2024;49;Mobile;8033;2
13509544;144314869;F-0224-0582730;02/02/2024;49;Mobile;7410;2
13509544;144314869;F-0324-0513760;02/03/2024;49;Mobile;7410;5
13411690;142957152;F-0324-0463010;01/03/2024;49;Mobile;6592;3
13411690;142957152;F-0224-0339270;01/02/2024;49;Mobile;6592;4
11496558;108572468;F-0324-0509289;02/03/2024;49;Mobile;3022;1
13576599;145517576;F-0324-0447591;01/03/2024;99;Mobile;8191;2
11195350;104461592;F-0324-0502744;02/03/2024;240;Fixe;2752;2
13493173;144145035;F-0224-0479669;01/02/2024;49;Mobile;7204;5
13493173;144145035;F-0324-0455536;01/03/2024;49;Mobile;7204;3
12963397;135198029;F-1023-1405106;01/10/2023;199;Mobile;5191;4
13576349;145517130;F-0324-0465162;01/03/2024;49;Mobile;8188;1
13341361;141940786;F-0324-0419169;01/03/2024;148,99;Fixe;6215;2
12963397;141509782;F-0324-0419142;01/03/2024;148,99;Fixe;5191;2
12339435;122601809;F-0324-0434053;01/03/2024;49;Mobile;4087;5
13276212;140751609;F-0324-0427214;01/03/2024;49;Mobile;5979;3
13146782;138648645;F-0224-0410430;01/02/2024;249;Mobile;5633;4
13146782;138648645;F-0324-0419981;01/03/2024;249;Mobile;5633;1
12851759;133622059;F-0224-0727188;02/02/2024;249;Mobile;4938;2
12851759;133622059;F-0324-0550917;02/03/2024;249;Mobile;4938;2
13593332;145810604;F-0324-0503606;02/03/2024;49;Mobile;8358;5
13419927;143031540;F-0224-0468709;01/02/2024;99;Mobile;6654;3
13419927;143031540;F-0324-0422079;01/03/2024;99;Mobile;6654;4
13491698;144082180;F-0324-0441645;01/03/2024;49;Mobile;7178;1
13654548;146971253;F-0324-1498519;02/03/2024;96,07;Mobile;9419;2
13488077;144075928;F-0324-0468622;01/03/2024;49;Mobile;7132;2
13488077;146435246;F-0324-0238293;01/03/2024;249;Mobile;7132;5
12352947;122721881;F-0224-0595879;02/02/2024;249;Fixe;4114;3
12352947;122721881;F-0324-0554627;02/03/2024;249;Fixe;4114;4
12004744;121751806;F-0324-0525051;02/03/2024;249;Fixe;3633;1
13620171;148079800;F-0324-1447314;04/03/2024;148,99;Fixe;8662;2
8929096;147254561;F-0324-1467168;04/03/2024;148,99;Fixe;1164;2
13700003;148024194;F-0324-1505516;04/03/2024;48,04;Mobile;10822;5
13627489;146592478;F-0324-1363987;04/03/2024;49;Mobile;8736;3
11337807;139712093;F-0823-1127531;04/08/2023;33,99;Mobile;2869;4
11337807;139712093;F-0923-1062579;04/09/2023;49;Mobile;2869;1
11337807;135052018;F-0324-1435953;04/03/2024;59;Mobile;2869;2
11105827;103000826;F-0324-1503071;04/03/2024;66,21;Mobile;2654;2
11105827;103000826;F-0224-0826904;04/02/2024;240;Mobile;2654;5
12592241;128887033;F-0324-1499665;02/03/2024;27,45;Mobile;4466;3
12592241;128887033;F-0224-0503036;02/02/2024;199;Mobile;4466;4
13625685;146518889;F-0324-1455005;04/03/2024;148,99;Fixe;8721;1
13549405;145070933;F-0324-1505605;04/03/2024;82,35;Mobile;7874;2
13549405;145070933;F-0224-0836535;04/02/2024;199;Mobile;7874;2
5147129;133198960;F-0324-1438463;04/03/2024;249;Fixe;408;5
13197720;139538234;F-0324-1446661;04/03/2024;148,99;Fixe;5759;3
13060793;136690901;F-0224-0851481;04/02/2024;199;Mobile;5405;4
12746415;131638676;F-0324-1488364;03/03/2024;41,17;Mobile;4704;1
12746415;131638676;F-0224-0110761;03/02/2024;199;Mobile;4704;2
13698436;148020616;F-0224-1182154;04/02/2024;49;Mobile;10778;2
13698436;148020616;F-0324-1386163;04/03/2024;49;Mobile;10778;5
13013612;138422049;F-0324-1444775;04/03/2024;148,99;Fixe;5288;3
12218043;144970660;F-0224-0980564;04/02/2024;199;Mobile;3920;4
12218043;144970660;F-0324-1430691;04/03/2024;199;Mobile;3920;1
13692390;147768583;F-0324-1354863;04/03/2024;99;Mobile;10624;2
13400353;142789126;F-0324-1446024;04/03/2024;148,99;Fixe;6520;2
13584241;145693681;F-0324-1498810;02/03/2024;94,45;Mobile;8267;5
13691750;147767377;F-0324-1356628;04/03/2024;49;Mobile;10600;3
12952718;135097247;F-0324-1491626;01/03/2024;51,52;Mobile;5168;4
12952718;135097247;F-0224-0311395;01/02/2024;249;Mobile;5168;1
13026762;135953010;F-0324-1491629;01/03/2024;96,07;Mobile;5327;2
13013612;135842945;F-0623-0860903;04/06/2023;199;Mobile;5288;2
10663938;97128712;F-0324-1492199;01/03/2024;215,17;Fixe;2291;5
10663938;97128712;F-0224-0471254;01/02/2024;240;Fixe;2291;3
3580708;144775294;F-0324-1414489;04/03/2024;49;Mobile;36;4
3580708;120738951;F-0324-1402627;04/03/2024;99;Mobile;36;1
7681704;145915864;F-0324-1396090;04/03/2024;49;Mobile;978;2
12461313;146874888;F-0324-1500015;04/03/2024;60,1;Mobile;4282;2
13703687;148081989;F-0324-1390498;04/03/2024;49;Mobile;10910;5
13703687;148082503;F-0324-1354307;04/03/2024;49;Mobile;10910;3
13554906;145142027;F-0324-1385628;04/03/2024;49;Mobile;7933;4
13387214;142589654;F-0324-1489756;03/03/2024;54,9;Mobile;6469;1
13387214;142589654;F-0224-0192825;03/02/2024;199;Mobile;6469;2
13270710;140681883;F-0324-1493254;01/03/2024;240,41;Mobile;5957;2
10922718;100127024;F-0324-1499742;02/03/2024;178,41;Mobile;2510;5
10922718;100127024;F-0224-0505774;02/02/2024;199;Mobile;2510;3
11797394;143432407;F-0324-1413488;04/03/2024;49;Mobile;3366;4
13404037;142856416;F-0324-1452077;04/03/2024;148,99;Fixe;6543;1
11520099;135560531;F-0324-1487442;03/03/2024;34,35;Mobile;3049;2
11520099;109082982;F-0423-1239218;03/04/2023;119,608;Mobile;3049;2
11062449;102204674;F-0324-1492402;01/03/2024;49,66;Fixe;2614;5
13601954;145899057;F-0324-1487799;03/03/2024;48,04;Mobile;8446;3
13601954;145899057;F-0224-1511130;03/02/2024;199;Mobile;8446;4
12793240;132622739;F-0823-1354196;02/08/2023;77,03;Fixe;4810;1
13623485;146434554;F-0324-1372792;04/03/2024;249;Fixe;8694;2
8854785;144905601;F-0324-1414491;04/03/2024;49;Mobile;1149;2
13156963;147768541;F-0324-1437101;04/03/2024;249;Mobile;5657;5
13476954;143844380;F-0324-1454406;04/03/2024;113,03;Fixe;7059;3
11511618;108841467;F-0324-1487727;03/03/2024;157,24;Fixe;3039;4
11511618;108841467;F-0224-0185383;03/02/2024;240;Fixe;3039;1
12144288;148264267;F-0324-1374514;04/03/2024;59;Mobile;3822;2
12793240;139889224;F-0324-1498162;02/03/2024;124,5;Mobile;4810;2
13476374;143843277;F-0324-1384135;04/03/2024;248,98;Fixe;7055;5
13620179;146428405;F-0324-1373674;04/03/2024;49;Mobile;8663;3
4911101;120549091;F-0324-1423024;04/03/2024;49;Mobile;358;4
13089859;145766902;F-0324-0540189;02/03/2024;99;Mobile;5479;1
12851610;136858373;F-0324-0518722;02/03/2024;94;Mobile;4937;2
13080662;137211670;F-0224-0553759;02/02/2024;199;Mobile;5457;2
13080662;137211670;F-0324-0540538;02/03/2024;199;Mobile;5457;5
13089859;137469282;F-0324-0536064;02/03/2024;148,99;Fixe;5479;3
11695347;111922592;F-0324-0531003;02/03/2024;240;Fixe;3240;4
13511518;144388687;F-0224-0518331;02/02/2024;49;Mobile;7436;1
13511518;144388687;F-0324-0533075;02/03/2024;49;Mobile;7436;2
12162340;119761214;F-0324-0529382;02/03/2024;249;Fixe;3860;2
13563242;145366294;F-0324-0446123;01/03/2024;49;Mobile;8029;5
11301586;106031933;F-0224-0402139;01/02/2024;98;Mobile;2839;3
11301586;106031933;F-0324-0445259;01/03/2024;99;Mobile;2839;4
12974591;138781063;F-0324-0524351;02/03/2024;249;Fixe;5213;1
13514835;144395045;F-0324-0512193;02/03/2024;99;Mobile;7462;2
13598113;145891881;F-0324-0495123;02/03/2024;249;Mobile;8412;2
13507606;144311512;F-0324-0512170;02/03/2024;49;Mobile;7385;5
13492329;144083251;F-0324-0471521;01/03/2024;149;Mobile;7191;3
12853741;133686270;F-0324-0578837;02/03/2024;99;Mobile;4942;4
13090075;137529908;F-0324-0536756;02/03/2024;148,99;Fixe;5481;1
13523950;144515972;F-0224-0631983;02/02/2024;97;Mobile;7576;2
13523950;144515972;F-0324-0499822;02/03/2024;99;Mobile;7576;2
11528792;144388611;F-0324-0423288;01/03/2024;49;Mobile;3055;5
13417315;143026923;F-0324-0449547;01/03/2024;249;Fixe;6637;3
12287990;121752094;F-0324-0492198;01/03/2024;199;Mobile;4018;4
13333523;141903047;F-0324-0469958;01/03/2024;49;Mobile;6176;1
11252844;146760449;F-0324-0514575;02/03/2024;99;Mobile;2796;2
11354685;106752830;F-0324-0488391;01/03/2024;99;Mobile;2884;2
11354685;106752830;F-0224-0344115;01/02/2024;99;Mobile;2884;5
13581650;145606901;F-0324-0507044;02/03/2024;49;Mobile;8240;3
13415352;142963397;F-0324-0424461;01/03/2024;47;Mobile;6622;4
12901245;136858224;F-0224-0434599;01/02/2024;98;Mobile;5046;1
12901245;136858224;F-0324-0471950;01/03/2024;99;Mobile;5046;2
13567899;145434625;F-0324-0461942;01/03/2024;99;Mobile;8105;2
11477062;108383072;F-0324-0480162;01/03/2024;49;Mobile;3000;5
13563987;145367743;F-0224-1042299;01/02/2024;48;Mobile;8039;3
13563987;145367743;F-0324-0473313;01/03/2024;49;Mobile;8039;4
10780328;98590063;F-0324-0417454;01/03/2024;240;Fixe;2395;1
13490948;144080998;F-0224-0477566;01/02/2024;49;Mobile;7170;2
13490948;144080998;F-0324-0466743;01/03/2024;49;Mobile;7170;2
11897937;147022881;F-0324-1414590;04/03/2024;248,98;Fixe;3473;5
13703722;148082106;F-0324-1457937;04/03/2024;148,99;Fixe;10912;3
13586708;145698418;F-0324-0503077;02/03/2024;49;Mobile;8294;4
12409000;123641264;F-0324-0549259;02/03/2024;249;Fixe;4214;1
12532468;127145927;F-0224-0718261;02/02/2024;199;Mobile;4372;2
12532468;127145927;F-0324-1499758;02/03/2024;199;Mobile;4372;2
10967557;100721663;F-0324-1499445;02/03/2024;132,41;Fixe;2530;5
13484956;143982035;F-0224-0817391;04/02/2024;249;Mobile;7104;3
13484956;143982035;F-0324-1349293;04/03/2024;249;Mobile;7104;4
13473097;143836991;F-0324-1452090;04/03/2024;148,99;Fixe;7029;1
8620797;134960045;F-0324-1410959;04/03/2024;249;Fixe;1119;2
12757420;143114074;F-0324-1358510;04/03/2024;249;Fixe;4718;2
7349463;147433914;F-0324-1412990;04/03/2024;249;Mobile;919;5
7567245;147936729;F-0324-1437102;04/03/2024;249;Mobile;965;3
13624077;146435658;F-0324-1349774;04/03/2024;249;Mobile;8701;4
7789265;123508617;F-0324-1397640;04/03/2024;49;Mobile;996;1
8620797;76643996;28-I9MA-127554;01/09/2019;10;;1119;2
11523488;109091134;F-0324-1402224;04/03/2024;49;Mobile;3051;2
13230304;140228592;F-0324-1496067;02/03/2024;249;Mobile;5849;5
10017456;135880526;F-0324-1465233;04/03/2024;199;Fixe;1762;3
13702094;148078686;F-0224-1507030;04/02/2024;8,03;Mobile;10876;4
13702094;148078686;F-0324-1503555;04/03/2024;124,5;Mobile;10876;1
13477535;143915753;F-0324-1384141;04/03/2024;199;Mobile;7062;2
12543768;127452156;F-0324-1486931;03/03/2024;188,9;Mobile;4388;2
13619505;146427143;F-0324-1383573;04/03/2024;49;Mobile;8656;5
13678186;147434222;F-0324-1489682;03/03/2024;150,97;Mobile;10146;3
13267965;140651361;F-0324-1463182;04/03/2024;148,99;Fixe;5944;4
6057295;142854959;F-0324-1501582;04/03/2024;199;Mobile;669;1
12916491;145445476;F-0324-1407979;04/03/2024;49;Mobile;5079;2
13549341;145070843;F-0224-1158430;04/02/2024;49;Mobile;7873;2
13549341;145070843;F-0324-1385421;04/03/2024;49;Mobile;7873;5
12939513;134947843;F-0224-0757081;04/02/2024;249;Mobile;5134;3
12939513;134947843;F-0324-1379965;04/03/2024;249;Mobile;5134;4
12618029;129278427;F-0324-1488449;03/03/2024;120,21;Mobile;4500;1
4184239;121991656;F-0324-1428938;04/03/2024;49;Mobile;222;2
4184239;129121145;F-0324-1424568;04/03/2024;49;Mobile;222;2
13699943;148024073;F-0324-1368549;04/03/2024;148;Mobile;10820;5
12948213;135049215;F-0324-1494811;01/03/2024;192,14;Mobile;5159;3
13398356;142725076;F-0324-1393722;04/03/2024;249;Mobile;6515;4
13638492;146790948;F-0324-1495323;01/03/2024;149,25;Mobile;8968;1
12773492;132219783;F-0324-1493699;01/03/2024;82,35;Mobile;4759;2
12975549;141335739;F-0324-1501577;04/03/2024;34,35;Mobile;5214;2
13673721;147257638;F-0324-1486702;03/03/2024;240,41;Mobile;10004;5
12853870;133686499;F-0224-0527094;02/02/2024;249;Mobile;4943;3
12853870;133686499;F-0324-1497368;02/03/2024;249;Mobile;4943;4
13621936;146431709;F-0324-1376669;04/03/2024;49;Mobile;8684;1
13196166;145142341;F-0324-1390049;04/03/2024;249;Fixe;5757;2
13575647;145515984;F-0324-1493477;01/03/2024;103,03;Mobile;8182;2
11407411;107489000;F-0324-1375320;04/03/2024;49;Mobile;2935;5
10974340;100778873;F-0324-1497341;02/03/2024;206,9;Fixe;2537;3
11517539;145918529;F-0324-1411792;04/03/2024;248,98;Fixe;3046;4
13009363;135772681;F-0324-1372718;04/03/2024;249;Fixe;5280;1
11239572;142926424;F-0324-1444013;01/03/2024;148,99;Fixe;2789;2
12104526;134773433;F-0324-1444561;01/03/2024;157,83;Fixe;3762;2
13680395;147518449;F-0324-1232902;03/03/2024;248,98;Fixe;10217;5
13196166;139535215;F-0823-1100510;04/08/2023;249;Mobile;5757;3
13196166;139535215;F-0923-0741069;04/09/2023;249;Mobile;5757;4
13331424;141818234;F-0324-1455089;04/03/2024;148,99;Fixe;6168;1
13549105;145070438;F-0324-1374516;04/03/2024;49;Mobile;7870;2
13678799;147435309;F-0324-1212496;03/03/2024;49;Mobile;10162;2
13641976;146876501;F-0224-1094479;01/02/2024;186,16;Mobile;9064;5
13641976;146876501;F-0324-1240637;01/03/2024;199;Mobile;9064;3
13031026;141929416;F-0324-1277431;02/03/2024;99;Mobile;5342;4
12512810;126675212;F-0324-0440934;01/03/2024;49;Mobile;4357;1
12685391;145334372;F-0324-1365015;04/03/2024;49;Mobile;4604;2
12685391;145334372;F-0224-1178401;04/02/2024;129;Mobile;4604;2
13307428;141334421;F-0324-1216777;03/03/2024;99;Mobile;6088;5
12868284;134014695;F-0324-1207748;03/03/2024;149;Mobile;4970;3
11221069;119508981;F-0324-1335852;04/03/2024;149;Mobile;2774;4
13476138;143842760;F-0324-1317890;04/03/2024;49;Mobile;7050;1
